"id","name","price","bought"
"29","Blind Date With A Book","210.0","false"
"30","Large Flower Spring Acrylic Painting","1.0","false"
"33","Cuddly Cow Soft Toy","367.0","false"
"34","INSECURITY SHIRT","311.0","false"
"35","cup","90.0","false"
"36","Bloodborne Lamp - Bloodborne NightLight - Bloodborne checkpoints lamp - Bloodborne decor","3.0","false"
"37","Leaf green socks","210.0","true"
"38","Hex jar","189.0","true"
